epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,76885,0.95429,0.40151,0.00552,0.95386,0.92991,0.9683,0.60033,1.38647,0.4904,0.00948,0.0008417,0.0008417,0.0008417
119,77546.5,0.96742,0.40172,0.006,0.96189,0.9435,0.96749,0.56307,1.53237,0.50575,0.01071,0.0008318,0.0008318,0.0008318
120,78206.8,0.97399,0.3978,0.00577,0.95169,0.92046,0.94577,0.60093,1.39441,0.4953,0.00925,0.0008219,0.0008219,0.0008219
121,78848.8,0.97662,0.40125,0.00574,0.94566,0.92523,0.95189,0.57301,1.59257,0.5221,0.01025,0.000812,0.000812,0.000812
122,79521,0.94693,0.40984,0.00537,0.96143,0.94393,0.952,0.57666,1.45181,0.56414,0.00963,0.0008021,0.0008021,0.0008021
123,80194.7,0.95022,0.38985,0.00547,0.93012,0.93298,0.95592,0.58843,1.45559,0.47498,0.00942,0.0007922,0.0007922,0.0007922
124,80837.5,0.94584,0.39241,0.00561,0.94806,0.93819,0.93738,0.57724,1.40132,0.52591,0.00971,0.0007823,0.0007823,0.0007823
125,81473.4,0.94769,0.38868,0.00558,0.93618,0.9486,0.95781,0.60024,1.40564,0.50091,0.00919,0.0007724,0.0007724,0.0007724
126,82114.4,0.91762,0.38972,0.00544,0.94842,0.92523,0.95163,0.60881,1.37132,0.46518,0.00899,0.0007625,0.0007625,0.0007625
127,82766.3,0.9201,0.38811,0.00559,0.94965,0.93458,0.96098,0.61216,1.35264,0.44028,0.00902,0.0007526,0.0007526,0.0007526
128,83422.9,0.93381,0.37487,0.00548,0.96877,0.92991,0.96836,0.59445,1.41061,0.46824,0.00939,0.0007427,0.0007427,0.0007427
129,84071.3,0.92793,0.3798,0.00558,0.9381,0.93458,0.95971,0.57885,1.42854,0.51252,0.00958,0.0007328,0.0007328,0.0007328
130,84724.8,0.92395,0.37461,0.00554,0.94779,0.93313,0.95182,0.56477,1.54064,0.52158,0.00995,0.0007229,0.0007229,0.0007229
131,85372,0.90938,0.37975,0.00538,0.9439,0.94344,0.96682,0.59189,1.39578,0.47475,0.00986,0.000713,0.000713,0.000713
132,86013.7,0.90949,0.37668,0.00574,0.9698,0.92056,0.94692,0.57062,1.45106,0.49197,0.00977,0.0007031,0.0007031,0.0007031
133,86670.6,0.93647,0.38849,0.0055,0.94342,0.92056,0.93917,0.56103,1.55584,0.49426,0.01025,0.0006932,0.0006932,0.0006932
134,87301.4,0.91789,0.38795,0.00577,0.95696,0.93458,0.96023,0.58034,1.4163,0.46188,0.00967,0.0006833,0.0006833,0.0006833
135,87935.1,0.90863,0.37319,0.0056,0.95248,0.93658,0.96259,0.5858,1.42749,0.4663,0.00944,0.0006734,0.0006734,0.0006734
136,88561,0.94354,0.37437,0.00597,0.91387,0.94199,0.95504,0.58754,1.46709,0.51805,0.00961,0.0006635,0.0006635,0.0006635
137,89190.8,0.87162,0.36143,0.00511,0.96516,0.90612,0.95639,0.59797,1.39786,0.48603,0.00944,0.0006536,0.0006536,0.0006536
138,89842,0.90275,0.37825,0.00524,0.954,0.92523,0.95845,0.58942,1.37189,0.48938,0.00936,0.0006437,0.0006437,0.0006437
139,90469.3,0.87965,0.34899,0.00526,0.95239,0.93458,0.95585,0.59571,1.37869,0.50665,0.00908,0.0006338,0.0006338,0.0006338
140,91102.5,0.88128,0.35891,0.00524,0.92749,0.92056,0.94163,0.58186,1.40394,0.47057,0.00918,0.0006239,0.0006239,0.0006239
141,91742,0.86784,0.34337,0.00505,0.94755,0.90654,0.94657,0.5896,1.42458,0.48838,0.00928,0.000614,0.000614,0.000614
142,92446.3,0.86327,0.35899,0.00496,0.95229,0.93262,0.95246,0.58968,1.3796,0.46226,0.0091,0.0006041,0.0006041,0.0006041
143,93129.3,0.90476,0.36987,0.00546,0.966,0.92926,0.96218,0.60144,1.3837,0.47334,0.00891,0.0005942,0.0005942,0.0005942
144,93778.4,0.8431,0.35179,0.00507,0.9656,0.9486,0.95279,0.59966,1.38422,0.5015,0.00901,0.0005843,0.0005843,0.0005843
145,94416.7,0.84976,0.34534,0.00522,0.94386,0.95794,0.96401,0.59499,1.43089,0.49285,0.00913,0.0005744,0.0005744,0.0005744
146,95069.9,0.83654,0.36318,0.00503,0.96179,0.94098,0.96339,0.59854,1.39201,0.43122,0.00907,0.0005645,0.0005645,0.0005645
147,95753.1,0.86085,0.3565,0.00509,0.95907,0.94393,0.95119,0.57983,1.44737,0.47547,0.00935,0.0005546,0.0005546,0.0005546
148,96406,0.82934,0.33704,0.00482,0.97536,0.92469,0.95266,0.59118,1.39262,0.44219,0.00949,0.0005447,0.0005447,0.0005447
149,97055.4,0.85033,0.34635,0.00503,0.94751,0.9486,0.96132,0.57251,1.47696,0.4715,0.00992,0.0005348,0.0005348,0.0005348
150,97711,0.81408,0.34111,0.00484,0.94167,0.93925,0.94412,0.59443,1.44295,0.46823,0.00966,0.0005249,0.0005249,0.0005249
151,98377.8,0.87085,0.35975,0.00526,0.94624,0.90474,0.94136,0.57512,1.48578,0.4978,0.00938,0.000515,0.000515,0.000515
152,99049.8,0.80762,0.3252,0.00489,0.94893,0.93458,0.94414,0.58607,1.43771,0.47492,0.00934,0.0005051,0.0005051,0.0005051
153,99723.3,0.82058,0.35844,0.00472,0.96421,0.91589,0.94808,0.60052,1.40121,0.49754,0.00905,0.0004952,0.0004952,0.0004952
154,100372,0.84644,0.36088,0.00496,0.96172,0.94393,0.95028,0.58653,1.45469,0.47571,0.00943,0.0004853,0.0004853,0.0004853
155,101028,0.81942,0.33434,0.00465,0.97054,0.92383,0.94634,0.58984,1.41545,0.47948,0.00925,0.0004754,0.0004754,0.0004754
156,101672,0.83164,0.35235,0.00492,0.96109,0.92349,0.94386,0.58436,1.40393,0.48797,0.00916,0.0004655,0.0004655,0.0004655
157,102332,0.80681,0.34169,0.0046,0.96215,0.95033,0.95982,0.60957,1.3861,0.46223,0.00899,0.0004556,0.0004556,0.0004556
158,103007,0.80765,0.33307,0.00482,0.95271,0.94137,0.95179,0.59658,1.36951,0.49735,0.00909,0.0004457,0.0004457,0.0004457
159,103678,0.81482,0.34423,0.00498,0.93921,0.93861,0.94693,0.5821,1.41006,0.47168,0.00928,0.0004358,0.0004358,0.0004358
160,104361,0.78415,0.31107,0.0048,0.94786,0.92056,0.9488,0.60356,1.37743,0.48458,0.00905,0.0004259,0.0004259,0.0004259
161,105026,0.79962,0.32,0.00473,0.96612,0.93291,0.95868,0.59643,1.36747,0.50015,0.00897,0.000416,0.000416,0.000416
162,105695,0.80297,0.33441,0.00487,0.96544,0.92056,0.95932,0.58725,1.4339,0.50177,0.00954,0.0004061,0.0004061,0.0004061
163,106374,0.78446,0.33259,0.00458,0.93868,0.92985,0.94709,0.59947,1.41012,0.50503,0.00905,0.0003962,0.0003962,0.0003962
164,107039,0.79465,0.33668,0.0047,0.96544,0.92991,0.95087,0.60497,1.36643,0.46954,0.00892,0.0003863,0.0003863,0.0003863
165,107711,0.78523,0.32859,0.00459,0.94016,0.95436,0.95677,0.60582,1.34825,0.47628,0.00871,0.0003764,0.0003764,0.0003764
166,108378,0.78003,0.3263,0.00447,0.95283,0.94396,0.95615,0.59173,1.39121,0.45514,0.00914,0.0003665,0.0003665,0.0003665
167,109054,0.75803,0.31923,0.0044,0.95257,0.9384,0.95624,0.5967,1.38926,0.45465,0.00897,0.0003566,0.0003566,0.0003566
