epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,38092.8,0.84579,0.38599,0.00493,0.96818,0.88318,0.96135,0.6218,1.22987,0.49268,0.00832,0.0006833,0.0006833,0.0006833
135,38359.6,0.82474,0.36658,0.00483,0.94729,0.90654,0.96159,0.62399,1.24304,0.48063,0.00861,0.0006734,0.0006734,0.0006734
136,38632.5,0.89532,0.41633,0.00509,0.94427,0.91589,0.95,0.60882,1.24676,0.51654,0.00868,0.0006635,0.0006635,0.0006635
137,38901.7,0.8335,0.38944,0.00465,0.92986,0.9293,0.95857,0.61567,1.24223,0.48015,0.00857,0.0006536,0.0006536,0.0006536
138,39168,0.83787,0.3721,0.00484,0.95075,0.8785,0.94593,0.61475,1.25069,0.52568,0.00866,0.0006437,0.0006437,0.0006437
139,39447.7,0.85053,0.36739,0.00479,0.93271,0.92991,0.95654,0.61263,1.25206,0.49522,0.0084,0.0006338,0.0006338,0.0006338
140,39725,0.8499,0.39265,0.00477,0.93779,0.90654,0.9466,0.61554,1.21402,0.50946,0.00838,0.0006239,0.0006239,0.0006239
141,39997,0.82716,0.37622,0.00472,0.94249,0.919,0.94773,0.61001,1.22866,0.50119,0.00851,0.000614,0.000614,0.000614
142,40271.7,0.81365,0.37077,0.00474,0.95105,0.90799,0.93726,0.59583,1.30232,0.54,0.00901,0.0006041,0.0006041,0.0006041
143,40547.4,0.80833,0.36383,0.00448,0.94625,0.92056,0.95865,0.59754,1.30057,0.52114,0.00914,0.0005942,0.0005942,0.0005942
144,40825.1,0.82427,0.37506,0.00452,0.94175,0.90187,0.95105,0.59269,1.33321,0.51478,0.0091,0.0005843,0.0005843,0.0005843
145,41100.6,0.83992,0.37753,0.00489,0.95958,0.88739,0.94969,0.59412,1.29069,0.51337,0.00892,0.0005744,0.0005744,0.0005744
146,41370.9,0.83092,0.38407,0.00482,0.95632,0.92078,0.96286,0.60993,1.28604,0.514,0.00879,0.0005645,0.0005645,0.0005645
147,41655.3,0.81998,0.38612,0.00491,0.9558,0.90948,0.9581,0.61253,1.25919,0.50112,0.00855,0.0005546,0.0005546,0.0005546
148,41938.3,0.80348,0.3647,0.00472,0.94135,0.92056,0.95233,0.61142,1.24727,0.488,0.00856,0.0005447,0.0005447,0.0005447
149,42204.4,0.79708,0.38265,0.00427,0.96006,0.90187,0.9531,0.60567,1.25667,0.53443,0.00864,0.0005348,0.0005348,0.0005348
150,42482.2,0.77139,0.3533,0.00426,0.92258,0.90654,0.94817,0.61176,1.25144,0.52807,0.00865,0.0005249,0.0005249,0.0005249
151,42756.6,0.7743,0.34536,0.00445,0.95672,0.8972,0.95199,0.62408,1.18682,0.50782,0.00804,0.000515,0.000515,0.000515
152,43035,0.79955,0.35869,0.00429,0.94403,0.93458,0.96939,0.6355,1.21787,0.49361,0.0081,0.0005051,0.0005051,0.0005051
153,43299.9,0.79319,0.35811,0.00434,0.96972,0.89781,0.95038,0.61609,1.19025,0.46682,0.00821,0.0004952,0.0004952,0.0004952
154,43570,0.77278,0.37479,0.00438,0.95968,0.88983,0.94049,0.61428,1.20885,0.4852,0.0085,0.0004853,0.0004853,0.0004853
155,43851.3,0.8005,0.39322,0.00442,0.95939,0.88322,0.94956,0.59703,1.2797,0.53169,0.00886,0.0004754,0.0004754,0.0004754
156,44135.5,0.77126,0.36029,0.00448,0.93657,0.8969,0.95343,0.62545,1.24673,0.50904,0.00865,0.0004655,0.0004655,0.0004655
